,Co_Code,Symbol,IdxStart_Date,IdxEnd_Date,StockChange,IndexChange,StkSDate,FirstClose,StkEDate,LastClose,Index,IndexDate,TypeTorB,IndexDaysDifference,IndexClose
0,20559,NIFTY,1990-10-09,1991-01-25,-36.25,-36.25,1990-10-09,480.38,1991-01-25,306.22,NIFTY,1991-01-25,Bottom,108.0,306.22
1,20559,NIFTY,1991-01-25,1992-04-23,318.3,318.3,1991-01-25,306.22,1992-04-23,1280.92,NIFTY,1992-04-23,Top,454.0,1280.92
2,20559,NIFTY,1992-04-23,1993-04-26,-53.2,-53.2,1992-04-23,1280.92,1993-04-26,599.51,NIFTY,1993-04-26,Bottom,368.0,599.51
3,20559,NIFTY,1993-04-26,1994-09-12,131.01,131.01,1993-04-26,599.51,1994-09-12,1384.94,NIFTY,1994-09-12,Top,504.0,1384.94
4,20559,NIFTY,1994-09-12,1996-12-04,-43.09,-44.01,1994-09-12,1384.94,1996-12-04,788.15,NIFTY,1996-12-04,Bottom,814.0,788.15
5,20559,NIFTY,1996-12-04,2000-02-23,115.24,134.47,1996-12-04,788.15,2000-02-23,1696.4,NIFTY,2000-02-23,Top,1176.0,1696.4
6,20559,NIFTY,2000-02-23,2001-09-21,-49.65,-53.25,2000-02-23,1696.4,2001-09-21,854.2,NIFTY,2001-09-21,Bottom,576.0,854.2
7,20559,NIFTY,2001-09-21,2004-01-09,130.85,137.03,2001-09-21,854.2,2004-01-09,1971.9,NIFTY,2004-01-09,Top,840.0,1971.9
8,20559,NIFTY,2004-01-09,2004-05-17,-29.57,-35.86,2004-01-09,1971.9,2004-05-17,1388.75,NIFTY,2004-05-17,Bottom,129.0,1388.75
9,20559,NIFTY,2004-05-17,2006-05-11,166.5,192.07,2004-05-17,1388.75,2006-05-11,3701.05,NIFTY,2006-05-11,Top,724.0,3701.05
10,20559,NIFTY,2006-05-11,2006-06-14,-28.86,-31.23,2006-05-11,3701.05,2006-06-14,2632.8,NIFTY,2006-06-14,Bottom,34.0,2632.8
11,20559,NIFTY,2006-06-14,2008-01-08,138.83,144.91,2006-06-14,2632.8,2008-01-08,6287.85,NIFTY,2008-01-08,Top,573.0,6287.85
12,20559,NIFTY,2008-01-08,2008-10-27,-59.86,-64.56,2008-01-08,6287.85,2008-10-27,2524.2,NIFTY,2008-10-27,Bottom,293.0,2524.2
13,20559,NIFTY,2008-10-27,2015-03-04,253.48,304.8,2008-10-27,2524.2,2015-03-04,8922.65,NIFTY,2015-03-04,Top,2319.0,8922.65
14,20559,NIFTY,2015-03-04,2016-02-29,-21.69,-25.15,2015-03-04,8922.65,2016-02-29,6987.05,NIFTY,2016-02-29,Bottom,362.0,6987.05
15,20559,NIFTY,2016-02-29,2020-01-20,74.96,82.11,2016-02-29,6987.05,2020-01-20,12224.55,NIFTY,2020-01-20,Top,1421.0,12224.55
16,20559,NIFTY,2020-01-20,2020-03-24,-36.19,-39.58,2020-01-20,12224.55,2020-03-24,7801.05,NIFTY,2020-03-24,Bottom,64.0,7801.05
17,20559,NIFTY,2020-03-24,2024-09-27,235.58,249.85,2020-03-24,7801.05,2024-09-27,26178.95,NIFTY,2024-09-27,Top,1648.0,26178.95
18,20559,NIFTY,2024-09-27,2025-03-04,-15.65,-16.41,2024-09-27,26178.95,2025-03-04,22082.65,NIFTY,2025-03-04,Bottom,158.0,22082.65
19,20559,NIFTY,2025-03-04,2025-03-28,6.51,7.67,2025-03-04,22082.65,2025-03-28,23519.35,NIFTY,2025-03-28,Top,24.0,23519.35
20,140,DMCC,2020-03-24,2024-09-27,-10.26,249.85,2021-12-01,305.95,2024-09-27,274.55,NIFTY,2024-09-27,Top,1648.0,26178.95
21,140,DMCC,2024-09-27,2025-03-04,2.9,-16.41,2024-09-27,274.55,2025-03-04,282.5,NIFTY,2025-03-04,Bottom,158.0,22082.65
22,140,DMCC,2025-03-04,2025-03-28,4.09,7.67,2025-03-04,282.5,2025-03-28,294.05,NIFTY,2025-03-28,Top,24.0,23519.35
23,499,SAURASHCEM,2020-03-24,2024-09-27,6.05,249.85,2024-02-27,117.15,2024-09-27,124.24,NIFTY,2024-09-27,Top,1648.0,26178.95
24,499,SAURASHCEM,2024-09-27,2025-03-04,-35.94,-16.41,2024-09-27,124.24,2025-03-04,79.59,NIFTY,2025-03-04,Bottom,158.0,22082.65
25,499,SAURASHCEM,2025-03-04,2025-03-28,-5.65,7.67,2025-03-04,79.59,2025-03-28,75.09,NIFTY,2025-03-28,Top,24.0,23519.35
